rnk_txn	rnk_txd	phylum	color	phyla_class
Oscillochloridaceae	104174	Chloroflexi	#44C5DE	Chloroflexi
Demequinaceae	1042322	Actinobacteria	#D13AAF	Actinobacteria
Chromatiaceae	1046	Proteobacteria	#8D08E1	Gammaproteobacteria
Sandaracinaceae	1055686	Proteobacteria	#8D08E1	Deltaproteobacteria
Chthonomonadaceae	1077264	Armatimonadetes	#89E554	Armatimonadetes
Thioalkalispiraceae	1096778	Proteobacteria	#8D08E1	Gammaproteobacteria
Brevinemataceae	1100104	Spirochaetes	#7D1532	Spirochaetes
Chloroflexaceae	1106	Chloroflexi	#44C5DE	Chloroflexi
Leptotrichiaceae	1129771	Fusobacteria	#E32E16	Fusobacteria
Nostocaceae	1162	Cyanobacteria	#3F8FF9	Cyanobacteria
Desulfurellaceae	117942	Proteobacteria	#8D08E1	Deltaproteobacteria
Scytonemataceae	1182	Cyanobacteria	#3F8FF9	Cyanobacteria
Rivulariaceae	1185	Cyanobacteria	#3F8FF9	Cyanobacteria
Defluviitaleaceae	1185407	Firmicutes	#1D44F0	Firmicutes
Brucellaceae	118882	Proteobacteria	#8D08E1	Alphaproteobacteria
Coxiellaceae	118968	Proteobacteria	#8D08E1	Gammaproteobacteria
Rhodobiaceae	119043	Proteobacteria	#8D08E1	Alphaproteobacteria
Methylobacteriaceae	119045	Proteobacteria	#8D08E1	Alphaproteobacteria
Burkholderiaceae	119060	Proteobacteria	#8D08E1	Betaproteobacteria
Magnetococcaceae	1191479	Proteobacteria	#8D08E1	Alphaproteobacteria
Tolypothrichaceae	119859	Cyanobacteria	#3F8FF9	Cyanobacteria
Dehalococcoidaceae	1202464	Chloroflexi	#44C5DE	Chloroflexi
Jiangellaceae	1217100	Actinobacteria	#D13AAF	Actinobacteria
Orbaceae	1240483	Proteobacteria	#8D08E1	Gammaproteobacteria
Beutenbergiaceae	125316	Actinobacteria	#D13AAF	Actinobacteria
Planctomycetaceae	126	Planctomycetes	#77CBF7	Planctomycetes
Micrococcaceae	1268	Actinobacteria	#D13AAF	Actinobacteria
Erysipelotrichaceae	128827	Firmicutes	#1D44F0	Firmicutes
Streptococcaceae	1300	Firmicutes	#1D44F0	Firmicutes
Ruaniaceae	1331736	Actinobacteria	#D13AAF	Actinobacteria
Kordiimonadaceae	1331809	Proteobacteria	#8D08E1	Alphaproteobacteria
Schleiferiaceae	1333713	Bacteroidetes	#098A66	Bacteroidetes
Melioribacteraceae	1334117	Ignavibacteriae	#DA5E81	Ignavibacteriae
Verrucomicrobia_subdivision_3	134621	Verrucomicrobia	#3AAC82	Verrucomicrobia
Opitutaceae	134623	Verrucomicrobia	#3AAC82	Verrucomicrobia
Piscirickettsiaceae	135616	Proteobacteria	#8D08E1	Gammaproteobacteria
Thiotrichaceae	135617	Proteobacteria	#8D08E1	Gammaproteobacteria
Oceanospirillaceae	135620	Proteobacteria	#8D08E1	Gammaproteobacteria
Pseudomonadaceae	135621	Proteobacteria	#8D08E1	Gammaproteobacteria
Spirochaetaceae	137	Spirochaetes	#7D1532	Spirochaetes
Ardenticatenaceae	1382930	Chloroflexi	#44C5DE	Chloroflexi
Motilibacteraceae	1433378	Actinobacteria	#D13AAF	Actinobacteria
Brachyspiraceae	143786	Spirochaetes	#7D1532	Spirochaetes
Ferrovaceae	1442156	Proteobacteria	#8D08E1	Betaproteobacteria
Dermacoccaceae	145357	Actinobacteria	#D13AAF	Actinobacteria
Bogoriellaceae	145358	Actinobacteria	#D13AAF	Actinobacteria
Rarobacteraceae	145359	Actinobacteria	#D13AAF	Actinobacteria
Sanguibacteraceae	145360	Actinobacteria	#D13AAF	Actinobacteria
Prolixibacteraceae	1471398	Bacteroidetes	#098A66	Bacteroidetes
Proteinivoraceae	1491775	Firmicutes	#1D44F0	Firmicutes
Thermoflexaceae	1495648	Chloroflexi	#44C5DE	Chloroflexi
Chromobacteriaceae	1499392	Proteobacteria	#8D08E1	Betaproteobacteria
Amoebophilaceae	1501348	Bacteroidetes	#098A66	Bacteroidetes
Chitinivibrionaceae	1505234	Fibrobacteres	#0D9293	Fibrobacteres
Roseiflexaceae	1508635	Chloroflexi	#44C5DE	Chloroflexi
Vulgatibacteraceae	1524213	Proteobacteria	#8D08E1	Deltaproteobacteria
Anaeromyxobacteraceae	1524215	Proteobacteria	#8D08E1	Deltaproteobacteria
Labilitrichaceae	1524216	Proteobacteria	#8D08E1	Deltaproteobacteria
Rhodothalassiaceae	1544800	Proteobacteria	#8D08E1	Alphaproteobacteria
Peptoniphilaceae	1570339	Firmicutes	#1D44F0	Firmicutes
Marinifilaceae	1573805	Bacteroidetes	#098A66	Bacteroidetes
Arenicellaceae	1617891	Proteobacteria	#8D08E1	Gammaproteobacteria
Borreliaceae	1643685	Spirochaetes	#7D1532	Spirochaetes
Atopobiaceae	1643824	Actinobacteria	#D13AAF	Actinobacteria
Eggerthellaceae	1643826	Actinobacteria	#D13AAF	Actinobacteria
Kosmotogaceae	1643948	Thermotogae	#412623	Thermotogae
Petrotogaceae	1643949	Thermotogae	#412623	Thermotogae
Fervidobacteriaceae	1643950	Thermotogae	#412623	Thermotogae
Roseiarcaceae	1643957	Proteobacteria	#8D08E1	Alphaproteobacteria
Akkermansiaceae	1647988	Verrucomicrobia	#3AAC82	Verrucomicrobia
Rubritaleaceae	1648490	Verrucomicrobia	#3AAC82	Verrucomicrobia
Halobacteriovoraceae	1652132	Proteobacteria	#8D08E1	Oligoflexia
Corynebacteriaceae	1653	Actinobacteria	#D13AAF	Actinobacteria
Pelagibacteraceae	1655514	Proteobacteria	#8D08E1	Alphaproteobacteria
Fimbriimonadaceae	1663426	Armatimonadetes	#89E554	Armatimonadetes
Wenzhouxiangellaceae	1676141	Proteobacteria	#8D08E1	Gammaproteobacteria
Limnochordaceae	1676650	Firmicutes	#1D44F0	Firmicutes
Acidiferrobacteraceae	1692041	Proteobacteria	#8D08E1	Gammaproteobacteria
Leptospiraceae	170	Spirochaetes	#7D1532	Spirochaetes
Cellvibrionaceae	1706371	Proteobacteria	#8D08E1	Gammaproteobacteria
Halieaceae	1706372	Proteobacteria	#8D08E1	Gammaproteobacteria
Microbulbiferaceae	1706373	Proteobacteria	#8D08E1	Gammaproteobacteria
Porticoccaceae	1706374	Proteobacteria	#8D08E1	Gammaproteobacteria
Spongiibacteraceae	1706375	Proteobacteria	#8D08E1	Gammaproteobacteria
Rikenellaceae	171550	Bacteroidetes	#098A66	Bacteroidetes
Porphyromonadaceae	171551	Bacteroidetes	#098A66	Bacteroidetes
Prevotellaceae	171552	Bacteroidetes	#098A66	Bacteroidetes
Tissierellaceae	1737406	Firmicutes	#1D44F0	Firmicutes
Woeseiaceae	1738654	Proteobacteria	#8D08E1	Gammaproteobacteria
Ichthyobacteriaceae	1755828	Bacteroidetes	#098A66	Bacteroidetes
Mycobacteriaceae	1762	Actinobacteria	#D13AAF	Actinobacteria
Isosphaeraceae	1763524	Planctomycetes	#77CBF7	Planctomycetes
Pseudobacteriovoracaceae	1769745	Proteobacteria	#8D08E1	Oligoflexia
Thorselliaceae	1771359	Proteobacteria	#8D08E1	Gammaproteobacteria
Rhodanobacteraceae	1775411	Proteobacteria	#8D08E1	Gammaproteobacteria
Bradymonadaceae	1779135	Proteobacteria	#8D08E1	Deltaproteobacteria
Endomicrobiaceae	1783343	Elusimicrobia	#87FAA2	Elusimicrobia
Balneolaceae	1813606	Balneolaeota	#A14046	Balneolaeota
Ventosimonadaceae	1827282	Proteobacteria	#8D08E1	Gammaproteobacteria
Chthoniobacteraceae	1836792	Verrucomicrobia	#3AAC82	Verrucomicrobia
Deinococcaceae	183710	Deinococcus-Thermus	#A62A25	Deinococcus-Thermus
Lentimicrobiaceae	1840213	Bacteroidetes	#098A66	Bacteroidetes
Sporomusaceae	1843490	Firmicutes	#1D44F0	Firmicutes
Selenomonadaceae	1843491	Firmicutes	#1D44F0	Firmicutes
Crocinitomicaceae	1853230	Bacteroidetes	#098A66	Bacteroidetes
Odoribacteraceae	1853231	Bacteroidetes	#098A66	Bacteroidetes
Hymenobacteraceae	1853232	Bacteroidetes	#098A66	Bacteroidetes
Anaeroplasmataceae	186333	Tenericutes	#5BB1E4	Tenericutes
Lachnospiraceae	186803	Firmicutes	#1D44F0	Firmicutes
Peptostreptococcaceae	186804	Firmicutes	#1D44F0	Firmicutes
Eubacteriaceae	186806	Firmicutes	#1D44F0	Firmicutes
Peptococcaceae	186807	Firmicutes	#1D44F0	Firmicutes
Thermoanaerobacteraceae	186814	Firmicutes	#1D44F0	Firmicutes
Bacillaceae	186817	Firmicutes	#1D44F0	Firmicutes
Planococcaceae	186818	Firmicutes	#1D44F0	Firmicutes
Listeriaceae	186820	Firmicutes	#1D44F0	Firmicutes
Sporolactobacillaceae	186821	Firmicutes	#1D44F0	Firmicutes
Paenibacillaceae	186822	Firmicutes	#1D44F0	Firmicutes
Alicyclobacillaceae	186823	Firmicutes	#1D44F0	Firmicutes
Thermoactinomycetaceae	186824	Firmicutes	#1D44F0	Firmicutes
Aerococcaceae	186827	Firmicutes	#1D44F0	Firmicutes
Carnobacteriaceae	186828	Firmicutes	#1D44F0	Firmicutes
Thermotogaceae	188709	Thermotogae	#412623	Thermotogae
Thermodesulfobacteriaceae	188711	Thermodesulfobacteria	#E315F2	Thermodesulfobacteria
Thermaceae	188786	Deinococcus-Thermus	#A62A25	Deinococcus-Thermus
Gloeobacteraceae	1890422	Cyanobacteria	#3F8FF9	Cyanobacteria
Synechococcaceae	1890426	Cyanobacteria	#3F8FF9	Cyanobacteria
Merismopediaceae	1890428	Cyanobacteria	#3F8FF9	Cyanobacteria
Acaryochloridaceae	1890429	Cyanobacteria	#3F8FF9	Cyanobacteria
Chamaesiphonaceae	1890431	Cyanobacteria	#3F8FF9	Cyanobacteria
Pseudanabaenaceae	1890436	Cyanobacteria	#3F8FF9	Cyanobacteria
Leptolyngbyaceae	1890438	Cyanobacteria	#3F8FF9	Cyanobacteria
Microcystaceae	1890449	Cyanobacteria	#3F8FF9	Cyanobacteria
Aphanothecaceae	1890450	Cyanobacteria	#3F8FF9	Cyanobacteria
Chroococcaceae	1890464	Cyanobacteria	#3F8FF9	Cyanobacteria
Entophysalidaceae	1890482	Cyanobacteria	#3F8FF9	Cyanobacteria
Dermocarpellaceae	1890498	Cyanobacteria	#3F8FF9	Cyanobacteria
Xenococcaceae	1890499	Cyanobacteria	#3F8FF9	Cyanobacteria
Hyellaceae	1890500	Cyanobacteria	#3F8FF9	Cyanobacteria
Chroococcidiopsidaceae	1890528	Cyanobacteria	#3F8FF9	Cyanobacteria
Cyanothecaceae	1892249	Cyanobacteria	#3F8FF9	Cyanobacteria
Coleofasciculaceae	1892251	Cyanobacteria	#3F8FF9	Cyanobacteria
Microcoleaceae	1892252	Cyanobacteria	#3F8FF9	Cyanobacteria
